250 321
2 26 177
2 58 274
2 89 50
2 100 386
2 142 192
2 217 280
3 119 91
3 174 31
4 65 13
4 118 338
4 128 68
4 158 416
4 182 474
5 20 211
5 40 139
5 56 44
5 178 472
5 184 131
5 233 180
6 131 258
6 136 61
6 138 354
6 179 180
9 16 487
9 39 494
9 95 22
9 159 145
9 233 432
10 153 103
10 218 21
11 130 150
11 167 312
12 39 192
12 172 123
13 157 304
13 200 138
14 32 348
14 179 191
14 199 255
15 55 6
15 120 178
15 183 350
15 249 237
17 76 280
17 162 405
17 198 116
18 45 359
18 82 366
18 140 410
18 162 493
18 218 239
18 244 412
19 118 402
19 122 201
19 206 349
19 210 383
20 28 313
20 34 116
20 51 402
21 77 311
21 173 355
21 247 170
22 27 265
22 244 264
23 209 185
24 48 403
25 120 357
25 180 401
25 195 33
26 65 474
26 106 465
26 210 417
27 51 10
27 85 299
27 178 83
28 164 383
29 176 79
31 52 101
31 192 459
32 110 144
32 113 29
32 241 301
33 49 164
33 111 396
33 156 399
33 207 28
33 246 200
34 43 435
34 195 264
34 217 75
35 50 389
35 158 95
35 193 63
36 42 122
36 143 235
36 151 117
38 48 209
38 124 397
38 168 479
38 209 84
39 229 96
40 136 391
41 192 169
41 221 349
41 224 14
41 236 119
42 111 66
42 119 36
42 135 385
42 160 485
42 199 75
43 107 247
43 111 99
44 194 365
45 102 170
45 188 54
46 202 273
47 86 127
47 235 323
48 165 203
49 134 335
49 224 497
50 184 336
51 215 130
51 223 7
52 127 298
53 221 431
54 78 266
54 199 394
54 248 102
55 73 486
56 82 58
56 95 281
56 125 147
56 177 354
56 230 468
56 238 268
56 248 160
59 98 45
59 99 380
59 159 389
59 183 375
60 189 404
61 166 448
61 186 3
61 221 330
62 75 298
62 115 214
64 120 496
64 132 229
64 197 92
65 179 488
65 248 25
66 196 165
68 135 150
69 84 411
70 109 138
70 205 312
70 223 412
71 72 373
71 155 400
71 200 75
71 223 403
71 249 472
72 243 95
74 155 437
74 176 412
75 226 442
75 244 342
76 103 70
76 130 83
77 152 308
78 103 459
78 106 483
80 169 123
80 231 432
81 168 489
81 214 48
82 99 320
82 122 171
82 216 387
83 95 28
83 121 427
83 181 149
84 238 200
84 248 71
84 249 179
85 167 212
85 222 321
86 114 57
86 191 125
86 247 80
88 175 110
91 165 264
91 200 317
92 155 45
93 94 480
93 105 129
94 147 252
95 138 58
95 152 255
95 200 259
96 130 257
96 139 325
96 219 411
97 170 142
98 195 402
98 226 150
101 213 470
103 119 494
104 106 312
104 217 26
105 237 348
105 249 86
106 178 261
107 118 176
107 233 287
108 170 367
108 189 306
110 158 282
113 142 162
113 167 273
115 188 74
116 139 155
116 189 48
117 156 206
117 191 130
118 171 274
118 176 304
121 149 405
121 174 321
121 185 4
121 202 255
122 219 172
122 234 241
122 243 488
124 200 470
124 221 391
125 133 96
125 220 401
126 182 251
128 145 110
128 186 204
129 176 227
129 214 40
130 232 465
130 244 304
132 155 31
132 224 7
132 233 303
135 146 354
135 170 116
135 214 20
135 216 480
137 170 143
137 216 236
138 151 335
139 216 414
140 222 75
141 210 77
143 178 257
144 174 311
144 199 62
144 203 338
144 243 286
146 198 421
146 233 178
147 148 471
150 188 110
150 232 319
152 156 449
152 174 147
153 200 317
155 177 113
155 230 450
156 176 318
156 199 219
159 205 380
160 166 55
162 206 472
164 249 169
165 193 105
165 194 26
169 191 288
169 209 40
169 210 121
169 217 244
169 244 48
170 247 309
171 226 365
177 220 258
177 244 318
178 191 416
178 243 163
179 220 34
181 197 374
182 188 192
182 234 157
183 193 344
185 225 233
186 230 330
188 216 46
190 242 432
191 237 321
192 229 387
194 232 480
195 209 30
200 243 428
202 238 369
205 223 2
207 213 301
208 218 421
208 235 210
209 231 383
210 220 34
215 216 402
217 230 236
219 222 249
235 236 462
238 245 466
242 243 407
